,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
39,2021-02-23,True,True,0.41,340,500,250,2cd,1,694.191308,-340.2875035,520.32500455,674.2500100000002,-6551.778879777401,-5071.285482855894,-4589.850613290675,1480.4933969215072,44414.80190764522,481.43486956521883,14443.046086956565,0,0,0,0,0,0.1412131759106201,0.0,-0.0
40,2021-02-24,True,True,0.41,340,500,250,2cd,1,772.9652218,-306.2333273,527.1749880499998,723.6087008,-6467.194075585224,-5056.762902185958,-4575.32803262074,1410.4311733992654,42312.93520197796,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
41,2021-02-25,True,True,0.41,340,500,250,2cd,1,606.4153745,-46.9199996,594.338449523,828.6888769,-6124.497151923909,-6018.828622342764,-5537.393752777546,105.66852958114487,3170.0558874343455,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
42,2021-02-26,True,True,0.41,340,500,250,2cd,1,669.3629454,-84.2708325,623.97915917,863.56294566,-5604.130875652474,-5369.9543512522605,-4888.519481687043,234.17652440021263,7025.29573200638,481.43486956521883,14443.046086956565,0,0,0,0,0,0.1412131759106201,0.0,-0.0
43,2021-02-27,True,True,0.41,340,500,250,2cd,1,674.3750052999999,-202.2086925,605.22593837,848.9888715599999,-5709.434288344175,-5077.234814146308,-4595.799944581091,632.199474197867,18965.98422593601,481.43486956521696,14443.046086956509,0,0,0,0,0,0.14121317591061922,0.0,-0.0
44,2021-02-28,True,True,0.41,340,500,250,2cd,1,566.4750201,-119.9333306,534.8375202200001,784.8375202200001,-3740.2525215693,-3375.1382963424303,-3273.75000207011,365.1142252268697,10953.42675680609,101.38829427232031,3041.648828169609,0,0,0,0,0,-0.06843109696159266,0.0,-0.0
45,2021-03-01,True,True,0.41,340,500,250,2cd,1,623.9782717999999,-61.63043304,600.7043587599999,813.1739338900002,-5169.761195973891,-5004.779874945587,-4523.345005380369,164.98132102830368,4949.4396308491105,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
46,2021-03-02,True,True,0.41,340,500,250,2cd,1,799.8086777000002,-344.450007,554.7130445,717.6173827,-6405.2433320104665,-4585.912545869224,-4104.477676304005,1819.3307861412425,54579.92358423727,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
47,2021-03-03,True,True,0.41,340,500,250,2cd,1,719.0448106,-269.2782554,610.53912103,814.5068856,-6279.020680955318,-5272.982629016311,-4791.547759451093,1006.0380519390072,30181.14155817022,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
48,2021-03-04,True,True,0.41,340,500,250,2cd,1,728.3086972,-337.9608607,520.0782395,704.0130495000002,-6325.464086419344,-4629.924418870619,-4148.489549305402,1695.5396675487266,50866.19002646179,481.43486956521696,14443.046086956509,0,0,0,0,0,0.14121317591061922,0.0,-0.0
49,2021-03-05,True,True,0.41,340,500,250,2cd,1,660.6868724999998,-126.4666697,575.15997604,825.15997604,-6006.401304228002,-5419.16175595177,-4937.726886386552,587.2395482762322,17617.186448286964,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
50,2021-03-06,True,True,0.41,340,500,250,2cd,1,673.2846268999998,-83.300003,659.1730884399999,909.17308844,-5877.320670118576,-5673.954678114604,-5192.519808549385,203.3659920039745,6100.979760119235,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
51,2021-03-07,True,True,0.41,340,500,250,2cd,1,634.5514811,-137.5260924,549.29132571,799.29132571,-4306.187614770616,-3914.1416046681215,-3779.7346335873344,392.0460101024947,11761.380303074839,134.40697108078712,4032.2091324236135,0,0,0,0,0,-0.03617061768819152,0.12463053369000003,-0.7824167009699999
52,2021-03-08,True,True,0.41,340,500,250,2cd,1,679.9217275000002,-183.0434776,643.72690326,838.8142960399998,-5692.190286544722,-5184.8511696230735,-4703.416300057857,507.3391169216475,15220.173507649424,481.43486956521696,14443.046086956509,0,0,0,0,0,0.14121317591061922,0.0,-0.0
53,2021-03-09,True,True,0.41,340,500,250,2cd,1,675.656531,-121.9130464,640.23334987,842.78697633,-6216.792362715087,-5842.658812891596,-5361.223943326379,374.1335498234894,11224.00649470468,481.43486956521696,14443.046086956509,0,0,0,0,0,0.14121317591061922,0.0,-0.0
