datetime,net_load_before_pv,pv,net_load_after_pv
1/15/21 16:15,545.35001,27.76666667,517.5833433
1/15/21 16:20,542.75,23.75,519
1/15/21 16:25,587.0000182,19.95000017,567.050018
1/15/21 16:30,539.291303,17.55217391,521.7391291
1/15/21 16:35,510.9478433,15.09565217,495.8521911
1/15/21 16:40,527.412482,13.15,514.262482
1/15/21 16:45,512.6913101,10.66086957,502.0304405
1/15/21 16:50,463.8416667,8.508333333,455.3333333
1/15/21 16:55,421.5833393,6.65,414.9333393
1/15/21 17:00,320.5374993,4.945833333,315.5916659
1/15/21 17:05,253.9304349,3.286956522,250.6434784
1/15/21 17:10,247.9666667,2.133333333,245.8333333
1/15/21 17:15,246.0521721,1.060869565,244.9913025
1/15/21 17:20,243.8250031,0.304166667,243.5208365
1/15/21 17:25,239.7875041,-0.0625,239.8500041
1/15/21 17:30,253.9916705,0,253.9916705
1/15/21 17:35,373.2956582,0,373.2956582
1/15/21 17:40,427.924998,0,427.924998
1/15/21 17:45,410.9499895,0,410.9499895
1/15/21 17:50,377.9999888,0,377.9999888
1/15/21 17:55,400.1166574,0,400.1166574
1/15/21 18:00,410.5825993,0,410.5825993
1/15/21 18:05,408.1166737,0,408.1166737
1/15/21 18:10,404.650009,0,404.650009
1/15/21 18:15,383.9391216,0,383.9391216
1/15/21 18:20,403.8124975,0,403.8124975
1/15/21 18:25,391.8260896,0,391.8260896
1/15/21 18:30,418.5391393,0,418.5391393
1/15/21 18:35,406.2695592,0,406.2695592
1/15/21 18:40,402.1782703,0,402.1782703
1/15/21 18:45,389.9434723,0,389.9434723
1/15/21 18:50,390.2043523,0,390.2043523
1/15/21 18:55,422.9782635,0,422.9782635
1/15/21 19:00,485.9087019,0,485.9087019
1/15/21 19:05,482.5739214,0,482.5739214
1/15/21 19:10,490.0434861,0,490.0434861
1/15/21 19:15,484.9083278,0,484.9083278
1/15/21 19:20,468.2608774,0,468.2608774
1/15/21 19:25,473.700002,0,473.700002
1/15/21 19:30,516.0000117,0,516.0000117
1/15/21 19:35,477.3130531,0,477.3130531
1/15/21 19:40,476.8208376,0,476.8208376
1/15/21 19:45,457.3173869,0,457.3173869
1/15/21 19:50,437.1083248,0,437.1083248
1/15/21 19:55,395.2750015,0,395.2750015
1/15/21 20:00,370.8125,0,370.8125
1/15/21 20:05,331.8249995,0,331.8249995
1/15/21 20:10,334.9125048,0,334.9125048
1/15/21 20:15,298.5333253,0,298.5333253
1/15/21 20:20,330,0,330
1/15/21 20:25,322.926076,0,322.926076
1/15/21 20:30,316.5541762,0,316.5541762
1/15/21 20:35,329.4521737,0,329.4521737
1/15/21 20:40,280.9043382,0,280.9043382
1/15/21 20:45,285.6608636,0,285.6608636
1/15/21 20:50,279.9333368,0,279.9333368
1/15/21 20:55,252.9826057,0,252.9826057
1/15/21 21:00,264.7041752,0,264.7041752
1/15/21 21:05,235.9217331,0,235.9217331
1/15/21 21:10,265.7999887,0,265.7999887
1/15/21 21:15,269.0869533,0,269.0869533
1/15/21 21:20,248.0862959,0,248.0862959
1/15/21 21:25,275.600006,0,275.600006
1/15/21 21:30,255.5304327,0,255.5304327
