datetime,net_load_before_pv,pv,net_load_after_pv
7/18/21 13:00,178,,
7/18/21 14:00,174,,
7/18/21 15:00,168,,
7/18/21 16:00,248,,
7/18/21 17:00,160,,
7/18/21 18:00,145,,
7/18/21 19:00,136,,
7/18/21 20:00,115,,
7/18/21 21:00,102,,
7/18/21 22:00,137,,
7/18/21 23:00,141,,
7/19/21 0:00,87,,
7/19/21 1:00,81,,
7/19/21 2:00,62,,
7/19/21 3:00,33,,
7/19/21 4:00,35,,
7/19/21 5:00,31,,
7/19/21 6:00,144,,
7/19/21 7:00,122,,
7/19/21 8:00,141,,
7/19/21 9:00,152,,
7/19/21 10:00,207,,
7/19/21 11:00,213,,
7/19/21 12:00,252,,
7/19/21 13:00,327,,
7/19/21 14:00,262,,
7/19/21 15:00,281,,
7/19/21 16:00,213,,
7/19/21 17:00,209,,
7/19/21 18:00,155,,
7/19/21 19:00,146,,
7/19/21 20:00,171,,
7/19/21 21:00,132,,
7/19/21 22:00,94,,
7/19/21 23:00,58,,
7/20/21 0:00,119,,
7/20/21 1:00,67,,
7/20/21 2:00,63,,
7/20/21 3:00,60,,
7/20/21 4:00,111,,
7/20/21 5:00,71,,
7/20/21 6:00,57,,
7/20/21 7:00,160,,
7/20/21 8:00,88,,
7/20/21 9:00,120,,
7/20/21 10:00,192,,
7/20/21 11:00,132,,
7/20/21 12:00,127,,
7/20/21 13:00,257,,
7/20/21 14:00,152,,
7/20/21 15:00,206,,
7/20/21 16:00,228,,
7/20/21 17:00,259,,
7/20/21 18:00,265,,
7/20/21 19:00,211,,
7/20/21 20:00,198,,
7/20/21 21:00,105,,
7/20/21 22:00,144,,
7/20/21 23:00,125,,
8/4/21 0:00,95,,
8/4/21 1:00,119,,
8/4/21 2:00,82,,
8/4/21 3:00,116,,
8/4/21 4:00,95,,
8/4/21 5:00,93,,
8/4/21 6:00,85,,
8/4/21 7:00,153,,
8/4/21 8:00,106,,
8/4/21 9:00,228,,
8/4/21 10:00,247,,
8/4/21 11:00,223,,
8/4/21 12:00,191,,
8/4/21 13:00,239,,
8/4/21 14:00,223,,
8/4/21 15:00,216,,
8/4/21 16:00,292,,
8/4/21 17:00,194,,
8/4/21 18:00,146,,
8/4/21 19:00,142,,
8/4/21 20:00,133,,
8/4/21 21:00,159,,
8/4/21 22:00,129,,
8/4/21 23:00,128,,
8/5/21 0:00,86,,
8/5/21 1:00,88,,
8/5/21 2:00,89,,
8/5/21 3:00,68,,
8/5/21 4:00,60,,
8/5/21 5:00,49,,
8/5/21 6:00,64,,
8/5/21 7:00,82,,
8/5/21 8:00,61,,
8/5/21 9:00,134,,
8/5/21 10:00,244,,
8/5/21 11:00,184,,
8/5/21 12:00,159,,
8/5/21 13:00,245,,
8/5/21 14:00,184,,
8/5/21 15:00,216,,
8/5/21 16:00,259,,
8/5/21 17:00,210,,
8/5/21 18:00,194,,
8/5/21 19:00,170,,
8/5/21 20:00,185,,
8/5/21 21:00,121,,
8/5/21 22:00,139,,
8/5/21 23:00,100,,
8/6/21 0:00,121,,
8/6/21 1:00,93,,
8/6/21 2:00,88,,
8/6/21 3:00,92,,
8/6/21 4:00,65,,
8/6/21 5:00,60,,
8/6/21 6:00,51,,
8/6/21 7:00,79,,
8/6/21 8:00,67,,
8/6/21 9:00,183,,
8/6/21 10:00,214,,
8/6/21 11:00,221,,
8/6/21 12:00,212,,
8/6/21 13:00,292,,
8/6/21 14:00,323,,
8/6/21 15:00,274,,
8/6/21 16:00,312,,
8/6/21 17:00,231,,
8/6/21 18:00,164,,
8/6/21 19:00,187,,
8/6/21 20:00,145,,
8/6/21 21:00,169,,
8/6/21 22:00,169,,
8/6/21 23:00,138,,
8/7/21 0:00,143,,
8/7/21 1:00,132,,
8/7/21 2:00,123,,
8/7/21 3:00,112,,
8/7/21 4:00,115,,
8/7/21 5:00,98,,
8/7/21 6:00,88,,
8/7/21 7:00,108,,
8/7/21 8:00,161,,
8/7/21 9:00,202,,
8/7/21 10:00,245,,
8/7/21 11:00,256,,
8/7/21 12:00,213,,
8/7/21 13:00,225,,
8/7/21 14:00,233,,
8/7/21 15:00,215,,
8/7/21 16:00,253,,
8/7/21 17:00,201,,
8/7/21 18:00,208,,
8/7/21 19:00,214,,
8/7/21 20:00,181,,
8/7/21 21:00,183,,
8/7/21 22:00,147,,
8/7/21 23:00,143,,
8/8/21 0:00,104,,
8/8/21 1:00,114,,
8/8/21 2:00,86,,
8/8/21 3:00,85,,
8/8/21 4:00,98,,
8/8/21 5:00,87,,
8/8/21 6:00,88,,
8/8/21 7:00,165,,
8/8/21 8:00,129,,
8/8/21 9:00,171,,
8/8/21 10:00,135,,
8/8/21 11:00,155,,
8/8/21 12:00,150,,
8/8/21 13:00,165,,
8/8/21 14:00,166,,
8/8/21 15:00,165,,
8/8/21 16:00,175,,
8/8/21 17:00,164,,
8/8/21 18:00,163,,
