,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
43,2020-09-15,True,True,0.39,340,2000,500,2cd,1,2677.03,-863.82,2038.1,2538.1,-23736.996311999996,-19880.00952,-17971.00743304348,3856.986791999996,115709.60375999988,1909.0020869565196,57270.06260869559,-107081.20000000001,-81524.0,-101524.0,25557.20000000001,-20000.0,0.018569212624650167,0.0,-0.0,839.5,2038.1,1311.0,1311.0,1124.3,4721.74,0.9545010434782598,1,1
44,2020-09-16,True,True,0.39,340,2000,500,2cd,1,2810.65,-1590.75,2392.2000000000003,2566.113043478261,-23427.855218,-18080.33812,-16171.336033043479,5347.517098,160425.51294000002,1909.0020869565215,57270.06260869565,-112426.0,-95688.00000000001,-102644.52173913043,16737.999999999985,-6956.521739130418,0.06576043061277526,0.0,-0.0,1042.7,2392.2000000000003,414.5,414.5,1334.1,7127.95,0.9545010434782607,1,1
45,2020-09-17,True,True,0.39,340,2000,500,2cd,1,2145.79,-350.49,1979.1000000000001,2457.1,-22618.511926,-21317.35532,-19408.353233043475,1301.1566060000005,39034.698180000014,1909.0020869565233,57270.0626086957,-85831.6,-79164.0,-98284.0,6667.600000000006,-19120.0,0.02209077172973073,0.0,-0.0,1491.0,1979.1000000000001,1461.8999999999999,1461.8999999999999,813.0,1581.96,0.9545010434782616,1,1
46,2020-09-18,True,True,0.39,340,2000,500,2cd,1,1835.78,-1483.78,1515.2,1466.9,-16931.310564,-12366.162479999999,-9808.796873043477,4565.148084,136954.44252,2557.3656069565222,76720.96820869567,-73431.2,-60608.0,-58676.0,12823.199999999997,1932.0,0.14615790848313104,151.91399999999996,-423.69599999999997,709.8,693.2,801.0999999999999,64.70000000000005,1279.6,7743.21,1.066834803478261,1,1
47,2020-09-19,True,True,0.39,340,2000,500,2cd,1,1841.09,-1979.3,1729.1,1727.1130434782608,-20937.362379,-14236.228169999998,-11887.222778695652,6701.134209,201034.02627,2349.0053913043466,70470.1617391304,-73643.59999999999,-69164.0,-69084.52173913043,4479.599999999991,79.47826086956775,0.12447981462679159,395.56671833648375,-460.7750472589793,1607.7,1498.2,0.0,0.0,1224.3,11019.86,0.9441151720226836,0,0
48,2020-09-20,True,True,0.39,340,2000,500,2cd,1,2062.46,-1931.0,1453.6,1953.6,-18695.265484,-11574.065221,-9240.674791449906,7121.200262999999,213636.00788999995,2333.3904295500943,70001.71288650282,-82498.4,-58144.0,-78144.0,24354.399999999994,-20000.0,0.05867158098813108,399.48300000000006,-450.5709,1453.6,1173.89,0.0,0.0,1051.8,11433.0,0.9414097647750471,0,0
49,2020-10-19,True,True,0.39,340,2000,500,2cd,1,2911.43,-1970.73,2023.9,2267.1,-22927.126221,-14017.74592,-12211.087672249527,8909.380301,267281.40903,1806.6582477504726,54199.74743251418,-116457.2,-80956.0,-90684.0,35501.2,-9728.0,0.047045874253561326,24.31799999999994,-195.0,1871.0,2023.9,52.09999999999991,0.0,1402.4,12370.96,0.8058291238752363,0,1
50,2020-10-20,True,True,0.39,340,2000,500,2cd,1,2981.78,-1936.95,2536.6,2581.7136105860113,-28455.418763999995,-20514.670469999997,-18132.202871493384,7940.748293999997,238222.44881999993,2382.4675985066133,71474.0279551984,-119271.20000000001,-101464.0,-103268.54442344046,17807.20000000001,-1804.5444234404567,0.12137358600285464,23.142000000000056,-315.19800000000004,1508.9,2536.6,563.5999999999999,0.0,1427.2,10438.06,1.0336347992533068,1,1
51,2020-10-21,True,True,0.39,340,2000,500,2cd,1,2757.65,-540.54,2551.8999999999996,2725.8130434782606,-28259.597713,-25868.48743,-23959.485343043478,2391.110282999998,71733.30848999994,1909.0020869565233,57270.0626086957,-110306.0,-102075.99999999999,-109032.52173913043,8230.000000000015,-6956.521739130447,0.06576043061277548,0.0,-0.0,1856.2,2551.8999999999996,1723.5,1337.6,1467.5,3141.7200000000003,0.9545010434782616,1,1
52,2020-10-22,True,True,0.39,340,2000,500,2cd,1,2180.59,-1681.71,2145.3,1913.0,-25661.728186,-19739.917520000003,-17830.91543304348,5921.810665999998,177654.3199799999,1909.0020869565233,57270.0626086957,-87223.6,-85812.0,-76520.0,1411.6000000000058,9292.0,0.11790027279520254,0.0,-0.0,1532.2,2145.3,1285.5,264.0,1360.5,8348.84,0.9545010434782616,1,1
