date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
1/12/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,3171.69,-1799.36,2459.3,2633.213043,-30986.12769,-22953.02126,-21044.01917,8033.106436,240993.1931,1909.002087,57270.06261,-126867.6,-98372,-105328.5217,28495.6,-6956.521739,0.065760431,0,0,1551.6,2459.3,1510.3,608.3,1342.2,10536.92,0.954501043,1,1
6/21/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2722.34,-2405.59,2094.7,2594.7,-29856.68283,-14950.58011,-13128.43005,14906.10272,447183.0817,1822.150059,54664.50178,-108893.6,-83788,-103788,25105.6,-20000,0.009189256,0,0,2094.7,1801.7,392.1,197.8,1418.4,19465.39,0.91107503,0,1
2/27/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2330,0,2330,2586,-25354.7214,-25354.7214,-23445.71931,0,0,1909.002087,57270.06261,-93200,-93200,-103440,0,-10240,0.054515602,0,0,2294,2086,1430,1080,1602,0,0.954501043,1,0
4/23/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2310,0,2310,2582,-23379.034,-23379.034,-21470.03191,0,0,1909.002087,57270.06261,-92400,-92400,-103280,0,-10880,0.052287913,0,0,1982,2310,888,888,1656,0,0.954501043,1,1
10/20/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2981.78,-1936.95,2536.6,2581.713611,-28455.41876,-20514.67047,-18132.20287,7940.748294,238222.4488,2382.467599,71474.02796,-119271.2,-101464,-103268.5444,17807.2,-1804.544423,0.121373586,23.142,-315.198,1508.9,2536.6,563.6,0,1427.2,10438.06,1.033634799,1,1
8/16/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3415.64,-1815.37,2254.3,2576.133648,-24898.81726,-17910.86849,-15810.34522,6987.948773,209638.4632,2100.52327,63015.6981,-136625.6,-90172,-103045.3459,46453.6,-12873.34594,0.062472005,0,-186.615,1802.6,2254.3,1081.8,0,1214,10254.44,0.956954135,1,0
9/16/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2810.65,-1590.75,2392.2,2566.113043,-23427.85522,-18080.33812,-16171.33603,5347.517098,160425.5129,1909.002087,57270.06261,-112426,-95688,-102644.5217,16738,-6956.521739,0.065760431,0,0,1042.7,2392.2,414.5,414.5,1334.1,7127.95,0.954501043,1,1
6/22/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3434.816,-1099.48,2921.996,2539.996,-26592.29714,-21686.63268,-19777.63059,4905.664469,147169.9341,1909.002087,57270.06261,-137392.64,-116879.84,-101599.84,20512.8,15280,0.136041965,0,0,1328,1797.997,1199.997,1199.997,1382,6010.89,0.954501043,1,1
9/15/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2677.03,-863.82,2038.1,2538.1,-23736.99631,-19880.00952,-17971.00743,3856.986792,115709.6038,1909.002087,57270.06261,-107081.2,-81524,-101524,25557.2,-20000,0.018569213,0,0,839.5,2038.1,1311,1311,1124.3,4721.74,0.954501043,1,1
12/15/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,2873.91,-1821.56,2343.3,2517.213043,-32388.35233,-23983.16665,-22074.16456,8405.18568,252155.5704,1909.002087,57270.06261,-114956.4,-93732,-100688.5217,21224.4,-6956.521739,0.065760431,0,0,1794.9,2343.3,1347.3,580.1,1574.4,10645.17,0.954501043,1,1
