,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete
33,2020-09-03,False,True,0.41,340,500,125,2cd,1,384.9384615,-0.0,384.9384615,466.8384615,-3012.071110395472,-3012.071110395472,-2560.0004962145395,0.0,0.0,452.07061418093235,13562.11842542797,-15397.53846,-15397.53846,-18673.53846,0.0,-3276.0,0.08055055192152549,0.0,-0.0,132.3923077,341.8384615,273.1384615,199.5230769,57.06923077,0.0,0.9041412283618647,1
34,2020-09-04,False,True,0.41,340,500,125,2cd,1,394.5615385,-0.0,394.5615385,511.32142860000005,-3119.353385540514,-3119.353385540514,-2637.918515975296,0.0,0.0,481.4348695652179,14443.046086956538,-15782.46154,-15782.46154,-20452.857144,0.0,-4670.395604000001,0.07215468064998087,0.0,-0.0,133.0076923,386.32142860000005,238.8230769,238.18,65.60769231,0.0,0.9628697391304358,1
35,2020-09-05,False,True,0.41,340,500,125,2cd,1,338.4461538,-0.0,338.4461538,398.91538460000004,-2105.51703126154,-2105.51703126154,-1807.7001468644244,0.0,0.0,297.8168843971157,8934.50653191347,-13537.846152,-13537.846152,-15956.615384,0.0,-2418.7692320000006,0.019713028811348288,0.0,-0.0,63.27692308,273.91538460000004,158.5384615,158.5384615,46.26923077,0.0,0.5956337687942314,1
36,2020-09-06,False,True,0.41,340,500,125,2cd,1,94.13846154,-0.0,94.13846154,219.13846153999998,-790.8964932411254,-790.8964932411254,-679.4568876913002,0.0,0.0,111.43960554982527,3343.188166494758,-3765.5384615999997,-3765.5384615999997,-8765.5384616,0.0,-5000.0,,0.0,-0.0,57.64615385,94.13846154,49.26153846,37.46923077,34.43076923,0.0,0.22287921109965056,0
37,2020-09-07,False,True,0.41,340,500,125,2cd,1,376.8692308,-0.0,376.8692308,450.64615380000004,-2865.4815320494226,-2865.4815320494226,-2412.2961517986623,0.0,0.0,453.1853802507603,13595.56140752281,-15074.769232,-15074.769232,-18025.846152000002,0.0,-2951.0769200000013,0.08605117500072756,0.0,-0.0,127.77857140000002,314.1615385,295.83076919999996,184.73076919999997,62.97692308,0.0,0.9063707605015207,1
38,2020-09-08,False,True,0.41,340,500,125,2cd,1,403.9384615,-0.0,403.9384615,451.0,-3271.3354302417497,-3271.3354302417497,-2791.3127114064405,0.0,0.0,480.0227188353092,14400.681565059276,-16157.53846,-16157.53846,-18040.0,0.0,-1882.4615400000002,0.11369280139247584,0.0,-0.0,186.79230769999998,326.0,295.4230769,175.9230769,70.75384615,0.0,0.9600454376706185,1
39,2020-09-09,False,True,0.41,340,500,125,2cd,1,361.5692308,-0.0,361.5692308,474.2076923,-3118.644099780652,-3118.644099780652,-2637.2092302154347,0.0,0.0,481.43486956521747,14443.046086956525,-14462.769232,-14462.769232,-18968.307692000002,0.0,-4505.538460000002,0.0747433821863297,0.0,-0.0,208.0615385,349.2076923,271.8923077,157.89230769999998,76.03846154,0.0,0.9628697391304349,1
40,2020-09-10,False,True,0.41,340,500,125,2cd,1,390.31428569999997,-0.0,390.31428569999997,480.2461538,-3171.671733897279,-3171.671733897279,-2722.1280333567965,0.0,0.0,449.5437005404824,13486.311016214473,-15612.571428,-15612.571428,-19209.846152,0.0,-3597.274723999999,0.07440038451734954,0.0,-0.0,135.1923077,355.2461538,299.8384615,184.0692308,62.22857143,0.0,0.8990874010809649,1
41,2020-09-11,False,True,0.41,340,500,125,2cd,1,441.90769230000006,-0.0,441.90769230000006,442.7461538,-3150.3786678334445,-3150.3786678334445,-2705.7958421295007,0.0,0.0,444.58282570394385,13337.484771118316,-17676.307692000002,-17676.307692000002,-17709.846152,0.0,-33.53845999999612,0.12548459515387167,0.0,-0.0,172.6692308,317.7461538,318.35384619999996,199.6384615,49.77692308,0.0,0.8891656514078877,1
42,2020-09-12,False,True,0.41,340,500,125,2cd,1,190.5,-0.0,190.5,297.4230769,-1503.531044022854,-1503.531044022854,-1254.136319329652,0.0,0.0,249.39472469320208,7481.841740796062,-7620.0,-7620.0,-11896.923076000001,0.0,-4276.923076000001,-0.06697350814951353,0.0,-0.0,64.66153846,172.4230769,155.4384615,145.9384615,43.26153846,0.0,0.4987894493864042,1
43,2020-09-13,False,True,0.41,340,500,125,2cd,1,111.72307690000001,-0.0,111.72307690000001,232.7615385,-1077.2816067054823,-1077.2816067054823,-893.9168255074039,0.0,0.0,183.3647811980784,5500.943435942352,-4468.923076,-4468.923076,-9310.46154,0.0,-4841.538464,-0.2183192759312046,0.0,-0.0,60.72666667,109.1692308,78.9,78.9,18.42307692,0.0,0.3667295623961568,0
44,2020-09-14,False,True,0.41,340,500,125,2cd,1,370.4307692,-0.0,370.4307692,495.4307692,-2831.9388327591923,-2831.9388327591923,-2408.6889722063097,0.0,0.0,423.24986055288264,12697.49581658648,-14817.230768,-14817.230768,-19817.230768,0.0,-5000.000000000002,0.03898557097453925,0.0,-0.0,123.92307690000001,370.4307692,263.53846150000004,175.4307692,42.33846154,0.0,0.8464997211057653,1
45,2020-09-15,False,True,0.41,340,500,125,2cd,1,337.9307692,-0.0,337.9307692,431.3,-2758.5650248474954,-2758.5650248474954,-2303.784671602902,0.0,0.0,454.78035324459324,13643.410597337797,-13517.230768,-13517.230768,-17252.0,0.0,-3734.7692320000006,0.07463916887204092,0.0,-0.0,52.54615385,306.3,248.25384619999997,180.3538462,46.36923077,0.0,0.9095607064891865,1
46,2020-09-16,False,True,0.41,340,500,125,2cd,1,418.3153846,-0.0,418.3153846,470.9461538,-3083.477748185841,-3083.477748185841,-2644.8298555647903,0.0,0.0,438.6478926210507,13159.43677863152,-16732.615384,-16732.615384,-18837.846152,0.0,-2105.2307679999976,0.0924688333283008,0.0,-0.0,153.96923080000002,345.9461538,338.3230769,232.36153849999997,46.18571429,0.0,0.8772957852421014,1
47,2020-09-17,False,True,0.41,340,500,125,2cd,1,404.9461538,-0.0,404.9461538,435.1076923,-2934.4375937910618,-2934.4375937910618,-2508.706727300114,0.0,0.0,425.73086649094785,12771.925994728435,-16197.846152,-16197.846152,-17404.307692,0.0,-1206.4615399999984,0.10030799170538152,0.0,-0.0,120.7615385,310.1076923,281.7,147.8769231,42.25384615,0.0,0.8514617329818956,1
