,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete
557,2020-08-27,False,True,0.41,340,1000,250,opt,1,360.3153846,-0.0,360.3153846,209.25951109666073,-3075.531759688459,-3075.531759688459,-2605.5358139713326,0.0,0.0,469.99594571712623,14099.878371513787,-14412.615384,-14412.615384,-8370.38044386643,0.0,6042.2349401335705,0.08002157667712839,0.0,-0.0,83.02307692,360.3153846,264.88461540000003,200.4230769,44.86153846,0.0,0.4699959457171262,0
558,2020-08-28,False,True,0.41,340,1000,250,opt,1,441.7076923,-0.0,441.7076923,220.97591023873457,-3210.569138351389,-3210.569138351389,-2700.0232398271773,0.0,0.0,510.5458985242117,15316.376955726351,-17668.307692000002,-17668.307692000002,-8839.036409549382,0.0,8829.27128245062,0.10991543250450286,0.0,-0.0,128.4846154,364.0307692,323.8230769,248.76153849999997,44.94615385,0.0,0.5105458985242117,0
559,2020-08-29,False,True,0.41,340,1000,250,opt,1,53.85384615,-0.0,53.85384615,44.28080372794627,-607.314773540025,-607.314773540025,-584.4718112395078,0.0,0.0,22.84296230051723,685.2888690155169,-2154.153846,-2154.153846,-1771.232149117851,0.0,382.92169688214926,-0.21590554245928184,0.0,-0.0,53.85384615,52.86153846,32.36153846,32.36153846,32.36923077,0.0,0.02284296230051723,0
560,2020-08-30,False,True,0.41,340,1000,250,opt,1,57.3,-0.0,57.3,41.72666574012984,-637.2931131107928,-637.2931131107928,-633.0102994687662,0.0,0.0,4.282813642026554,128.4844092607966,-2292.0,-2292.0,-1669.0666296051936,0.0,622.9333703948064,-0.23870789478540855,0.0,-0.0,46.72307692,57.3,34.55384615,34.55384615,34.71538462,0.0,0.004282813642026553,0
561,2020-08-31,False,True,0.41,340,1000,250,opt,1,366.2,-0.0,366.2,175.03118486050153,-2497.354578855011,-2497.354578855011,-2067.1250559102364,0.0,0.0,430.22952294477454,12906.885688343236,-14648.0,-14648.0,-7001.247394420061,0.0,7646.752605579939,0.0834536472003573,0.0,-0.0,89.36153846,336.72307689999997,256.9384615,166.9571429,55.84615385,0.0,0.43022952294477457,0
562,2020-09-01,False,True,0.41,340,1000,250,opt,1,427.6461538,-0.0,427.6461538,220.4899326661548,-3297.4485251033407,-3297.4485251033407,-2769.4490193122692,0.0,0.0,527.9995057910714,15839.985173732144,-17105.846152,-17105.846152,-8819.597306646192,0.0,8286.248845353806,0.1096661474311984,0.0,-0.0,183.4615385,350.7615385,298.2538462,201.3428571,62.32307692,0.0,0.5279995057910715,0
563,2020-09-02,False,True,0.41,340,1000,250,opt,1,406.53846150000004,-0.0,406.53846150000004,203.46138451181093,-3076.044769697579,-3076.044769697579,-2582.7146374726417,0.0,0.0,493.3301322249372,14799.903966748116,-16261.538460000002,-16261.538460000002,-8138.455380472437,0.0,8123.083079527564,0.10098246546750156,0.0,-0.0,135.1153846,336.8153846,291.1384615,213.73846150000003,59.08461538,0.0,0.4933301322249372,0
564,2020-09-03,False,True,0.41,340,1000,250,opt,1,384.9384615,-0.0,384.9384615,196.8862601696233,-3012.071110395472,-3012.071110395472,-2513.9690163390987,0.0,0.0,498.10209405637306,14943.062821691192,-15397.53846,-15397.53846,-7875.450406784932,0.0,7522.088053215068,0.09753246531485593,0.0,-0.0,132.3923077,341.8384615,273.1384615,199.5230769,57.06923077,0.0,0.49810209405637307,0
565,2020-09-04,False,True,0.41,340,1000,250,opt,1,394.5615385,-0.0,394.5615385,207.0329491935728,-3119.353385540514,-3119.353385540514,-2676.410502658317,0.0,0.0,442.94288288219695,13288.28648646591,-15782.46154,-15782.46154,-8281.31796774291,0.0,7501.1435722570895,0.08518295545776544,0.0,-0.0,133.0076923,386.32142860000005,238.8230769,238.18,65.60769231,0.0,0.44294288288219696,0
566,2020-09-05,False,True,0.41,340,1000,250,opt,1,338.4461538,-0.0,338.4461538,148.3788729323079,-2105.51703126154,-2105.51703126154,-1784.6742965394658,0.0,0.0,320.8427347220743,9625.282041662229,-13537.846152,-13537.846152,-5935.154917292316,0.0,7602.691234707684,0.057897996107383776,0.0,-0.0,63.27692308,273.91538460000004,158.5384615,158.5384615,46.26923077,0.0,0.3208427347220743,0
