date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,energy_saving_per_kWh,storage_params
4/7/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1753,-2763,1552,1702,-19039.1088,-8566.8236,-8138.864277,10472.2852,314168.556,427.9593228,12838.77968,-70120,-62080,-68080,8040,-6000,0.002232168,1791.803666,-9.688966722,21.39796614,600kWh-150kW
4/8/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1342,-2683,1230,1380,-14913.468,-6497.8822,-6090.336877,8415.5858,252467.574,407.5453231,12226.35969,-53680,-49200,-55200,4480,-6000,-0.009119666,3010.799167,-0.000876188,20.37726615,600kWh-150kW
4/9/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1403,-2702,1028,1130,-15992.1592,-7034.0116,-6473.361277,8958.1476,268744.428,560.6503228,16819.50968,-56120,-41120,-45200,15000,-4080,0.085439892,2996.28291,-72.6615566,28.03251614,600kWh-150kW
4/10/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2034,-2439,1034,1156,-15447.9707,-7604.2358,-7196.690477,7843.7349,235312.047,407.5453231,12226.35969,-81360,-41360,-46240,40000,-4880,0.011359531,1851.719167,-0.000876188,20.37726615,600kWh-150kW
4/11/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1342,-431,1158,1272,-15785.0602,-14416.5368,-13833.70057,1368.5234,41055.702,582.8362293,17485.08688,-53680,-46320,-50880,7360,-4560,0.087569335,0,0,29.14181147,600kWh-150kW
4/12/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1332,-3030,1332,1332,-13704.3274,-6929.064,-6521.518677,6775.2634,203257.902,407.5453231,12226.35969,-53280,-53280,-53280,0,0,0.080492099,4241.639167,-0.000876188,20.37726615,600kWh-150kW
5/4/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1178,-2545,942,948,-13355.45,-5483.8826,-5076.337277,7871.5674,236147.022,407.5453231,12226.35969,-47120,-37680,-37920,9440,-240,0.077387287,3123.119167,-0.000876188,20.37726615,600kWh-150kW
5/5/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1517,-356,1284,1390,-15373.0521,-13717.176,-13134.33977,1655.8761,49676.283,582.8362293,17485.08688,-60680,-51360,-55600,9320,-4240,0.091623693,0,0,29.14181147,600kWh-150kW
5/6/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1387,-804,1008,953.6406608,-13917.9348,-10064.8348,-9481.998571,3853.1,115593,582.8362293,17485.08688,-55480,-40320,-38145.62643,15160,2174.373568,0.168001256,0,0,29.14181147,600kWh-150kW
5/7/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2408,-2929,1422,1350,-22149.7157,-9719.7308,-9091.714778,12429.9849,372899.547,628.0160222,18840.48066,-96320,-56880,-54000,39440,2880,0.190762329,1064.232082,-104.6319133,31.40080111,600kWh-150kW
5/8/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2133,-1474,2120,1970,-23784.7091,-17438.9086,-16766.55237,6345.8005,190374.015,672.3562293,20170.68688,-85320,-84800,-78800,520,6000,0.239096996,42.9,-61.5,33.61781147,600kWh-150kW
5/9/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2194,-1400,1696,1846,-22054.4262,-16527.6072,-15944.77097,5526.819,165804.57,582.8362293,17485.08688,-87760,-67840,-73840,19920,-6000,0.068910658,0,0,29.14181147,600kWh-150kW
5/10/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2672,-2804,1424,1574,-19972.2792,-10914.492,-10107.1296,9057.7872,271733.616,807.362397,24220.87191,-106880,-56960,-62960,49920,-6000,0.149342986,584.22,-177.12,40.36811985,600kWh-150kW
6/22/20,TRUE,TRUE,0.41,340,600,150,2cd,1,3435,-1099,2922,2811.132401,-26592.366,-21686.6526,-21103.81637,4905.7134,147171.402,582.8362293,17485.08688,-137400,-116880,-112445.296,20520,4434.703965,0.193399251,0,0,29.14181147,600kWh-150kW
6/23/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2540,-481,2268,2157.132401,-25685.0884,-23642.0342,-23059.19797,2043.0542,61291.626,582.8362293,17485.08688,-101600,-90720,-86285.29603,10880,4434.703965,0.193399251,0,0,29.14181147,600kWh-150kW
6/24/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2728,-2668,1632,1632.584349,-22154.6196,-12173.113,-11452.98538,9981.5066,299445.198,720.1276186,21603.82856,-109120,-65280,-65303.37395,43840,-23.37395331,0.188345008,82.91661963,-136.691246,36.00638093,600kWh-150kW
6/25/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1552,-2359,970,1120,-7326.6128,-3205.9698,-2866.678242,4120.643,123619.29,339.2915578,10178.74674,-62080,-38800,-44800,23280,-6000,-0.058129435,2881.47841,-62.97346597,16.96457789,600kWh-150kW
6/26/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1000,-1964,686,686,-8741.8473,-4477.8264,-3696.704983,4264.0209,127920.627,781.1214166,23433.6425,-40000,-27440,-27440,12560,0,0.208307249,1971.675543,-177.2928902,39.05607083,600kWh-150kW
6/27/20,TRUE,TRUE,0.41,340,600,150,2cd,1,1245,-861,1016,1016,-12562.3556,-8983.5852,-8410.058647,3578.7704,107363.112,573.5265533,17205.7966,-49800,-40640,-40640,9160,0,0.139779431,0,0,28.67632767,600kWh-150kW
6/28/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2010,-848,1700,1700,-19791.3234,-16959.9418,-16377.10557,2831.3816,84941.448,582.8362293,17485.08688,-80400,-68000,-68000,12400,0,0.142957619,0,0,29.14181147,600kWh-150kW
7/13/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2623.471,-1127,1764.471,1914.471,-20426.01557,-16961.58027,-16378.74404,3464.4353,103933.059,582.8362293,17485.08688,-104938.84,-70578.84,-76578.84,34360,-6000,0.068910658,0,0,29.14181147,600kWh-150kW
7/14/20,TRUE,TRUE,0.41,340,600,150,2cd,1,3173.045,-1954,2678.045,2828.045,-28860.94371,-23673.88141,-23091.04518,5187.0623,155611.869,582.8362293,17485.08688,-126921.8,-107121.8,-113121.8,19800,-6000,0.068910658,0,0,29.14181147,600kWh-150kW
7/15/20,TRUE,TRUE,0.41,340,600,150,2cd,1,2078.301,-1024,1787.584,1760.154,-22121.60485,-19013.21395,-18430.37772,3108.3909,93251.727,582.8362293,17485.08688,-83132.04,-71503.36,-70406.16,11628.68,1097.2,0.155680091,0,0,29.14181147,600kWh-150kW
