,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
75,2020-12-02,False,False,0.35,340,500,125,2cd,1,370.6538462,-0.0,370.6538462,475.6307692,-3147.0112156055206,-3147.0112156055206,-2678.298939548992,0.0,0.0,468.7122760565285,14061.368281695854,-14826.153847999998,-14826.153847999998,-19025.230767999998,0.0,-4199.0769199999995,0.04076317660414275,0.0,-0.0,132.3769231,350.6307692,281.9461538,217.4461538,57.45384615,0.0,0.937424552113057,0,1
76,2020-12-03,False,False,0.35,340,500,125,2cd,1,472.0384615,-0.0,472.0384615,590.0,-3320.712453767377,-3320.712453767377,-2849.8219541747726,0.0,0.0,470.89049959260456,14126.714987778138,-18881.53846,-18881.53846,-23600.0,0.0,-4718.46154,0.03326931481089357,0.0,-0.0,139.2615385,472.0384615,206.4692308,188.1846154,59.54615385,0.0,0.9417809991852091,0,1
77,2020-12-04,False,False,0.35,340,500,125,2cd,1,456.4923077,-0.0,456.4923077,541.3307692000001,-3374.0423287878657,-3374.0423287878657,-2910.1594581211225,0.0,0.0,463.8828706667432,13916.486120002297,-18259.692308,-18259.692308,-21653.230768,0.0,-3393.5384599999998,0.051492890994956575,0.0,-0.0,63.43846154,416.3307692,299.6,263.3076923,59.0,0.0,0.9277657413334864,0,1
78,2020-12-05,False,False,0.35,340,500,125,2cd,1,420.6153846,-0.0,420.6153846,545.6153846,-3187.626760710481,-3187.626760710481,-2733.080162489826,0.0,0.0,454.54659822065514,13636.397946619654,-16824.615384,-16824.615384,-21824.615383999997,0.0,-4999.999999999996,0.021297244366613066,0.0,-0.0,139.5923077,420.6153846,259.5,192.6461538,50.54615385,0.0,0.9090931964413103,0,0
79,2020-12-06,False,False,0.35,340,500,125,2cd,1,260.9367442,-0.0,260.9367442,385.9367442,-2099.5199418332686,-2099.5199418332686,-1687.5341457424543,0.0,0.0,411.98579609081435,12359.573882724431,-10437.469768,-10437.469768,-15437.469768,0.0,-5000.0,0.0003684955579124072,0.0,-0.0,115.0846154,260.9367442,171.1615385,171.1615385,52.14615385,0.0,0.8239715921816287,0,0
80,2020-12-07,False,False,0.35,340,500,125,2cd,1,423.1153846,-0.0,423.1153846,548.1153846,-3489.3732340930856,-3489.3732340930856,-3007.9383645278685,0.0,0.0,481.434869565217,14443.04608695651,-16924.615384,-16924.615384,-21924.615383999997,0.0,-4999.999999999996,0.033118117800482016,0.0,-0.0,160.5769231,423.1153846,321.4,203.5307692,67.52307692,0.0,0.962869739130434,1,1
81,2020-12-08,False,False,0.35,340,500,125,2cd,1,461.1076923,-0.0,461.1076923,539.5461538,-3513.87997057336,-3513.87997057336,-3032.445101008143,0.0,0.0,481.434869565217,14443.04608695651,-18444.307692,-18444.307692,-21581.846152,0.0,-3137.5384599999998,0.062373833160469516,0.0,-0.0,116.0769231,411.5230769,334.5428571,298.6230769,71.41538462,0.0,0.962869739130434,1,1
82,2020-12-09,False,False,0.35,340,500,125,2cd,1,440.2846154,-0.0,440.2846154,516.0857143000001,-3515.631333009237,-3515.631333009237,-3034.19646344402,0.0,0.0,481.434869565217,14443.04608695651,-17611.384616,-17611.384616,-20643.428572000004,0.0,-3032.043956000005,0.06396811774912248,0.0,-0.0,154.0538462,391.0857143,268.7230769,247.4153846,71.88461538,0.0,0.962869739130434,1,1
83,2020-12-10,False,False,0.35,340,500,125,2cd,1,456.2307692,-0.0,456.2307692,479.5076923,-3505.7968427327296,-3505.7968427327296,-3024.3619731675126,0.0,0.0,481.434869565217,14443.04608695651,-18249.230768,-18249.230768,-19180.307692,0.0,-931.0769239999972,0.09464214516884084,0.0,-0.0,150.7538462,354.5076923,353.2692308,235.9,71.56153846,0.0,0.962869739130434,1,1
84,2020-12-11,False,False,0.35,340,500,125,2cd,1,423.1384615,-0.0,423.1384615,523.2153846,-3376.2128031794173,-3376.2128031794173,-2898.69908655412,0.0,0.0,477.5137166252971,14325.411498758913,-16925.53846,-16925.53846,-20928.615384,0.0,-4003.076924000001,0.047471204526893906,0.0,-0.0,148.0785714,398.2153846,276.7214286,276.7214286,58.94285714,0.0,0.9550274332505941,0,1
